tmdb_id,title,year,native_4k,mastering,hdr,dolby_vision,audio,tmdb_rating,cn_title,genre,date_added,has_local,emby_url
945961,Alien: Romulus,2024,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",7.2,异形：夺命舰,,,0,
126889,Alien: Covenant,2017,0,Upscaled 4K,HDR10,"Dolby Atmos, True-HD 7.1",,6.2,异形：契约,,2025-03-26,0,
348,Alien,1979,1,Native 4K,HDR10+,5.1 DTS-HD-MA,,8.2,异形,,2025-03-23,0,
23761,"Alice, Sweet Alice",1976,1,Native 4K,HDR10,Dolby Vision,LPCM Mono,6.4,甜美爱丽丝,,,0,
12092,Alice in Wonderland,1951,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,7.2,爱丽丝梦游仙境,,,0,
16153,Alice Doesn't Live Here Anymore,1974,1,Native 4K,HDR10,Dolby Vision,LPCM Mono,7.0,曾经沧海难为水,,,0,
1966,Alexander Revisited: The Final Cut,2004,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",6.0,亚历山大大帝,,2026-08-28,0,
812,Aladdin,2019,0,Upscaled 4K,HDR & HDR10+,"Dolby Atmos, True-HD 7.1",,7.7,阿拉丁,,,0,
812,Aladdin,1992,0,Upscaled 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.7,阿拉丁,,,0,
149,Akira,1988,1,Native 4K,HDR10,Dolby True-HD 5.1,,7.9,阿基拉,,,0,
27932,Airport 1975,1974,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,5.8,国际机场1975,,,0,
10671,Airport,1970,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,6.5,国际机场,,,0,
7227,Airport '77,1977,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,5.6,国际机场1977,,,0,
813,Airplane!,1980,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,7.3,空前绝后满天飞,,,0,
2665,Airplane II: The Sequel,1982,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,6.1,空前绝后满天飞2：瞒天过海飞飞飞,,,0,
459350,Aircraft Carrier: Guardian of the Seas,2016,1,Native 4K,HDR10,"Dolby Atmos, True-HD 7.1",,6.4,航空母舰：七海卫士,,2026-04-12,0,
9772,Air Force One,1997,1,Native 4K,HDR10,"Dolby Atmos, True-HD 7.1",,6.5,空军一号,,2025-03-23,0,
11856,Air America,1990,1,Native 4K,HDR10,Dolby Vision,7.1 DTS-HD MA,5.8,飞离航道,,,0,
2000,"Aguirre, the Wrath of God",1972,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,7.4,阿基尔，上帝的愤怒,,,0,
10843,After Hours,1985,1,Native 4K,HDR10,Dolby Vision,LPCM Mono,7.5,下班后,,,0,
82700,After Earth,2013,1,Native 4K,HDR,5.1 DTS-HD-MA,,5.2,重返地球,,,0,
2758,Addams Family Values,1993,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,7.0,亚当斯一家的价值观,,,0,
419704,Ad Astra,2019,0,Upscaled 4K,HDR10,"Dolby Atmos, True-HD 7.1",,6.1,星际探索,,2025-03-23,0,
4688,Across The Universe,2007,1,Native 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.1,穿越苍穹,,,0,
23847,Across 110th Street,1972,1,Native 4K,HDR10,Dolby Vision,2.0 DTS-HD MA,6.7,血洒110街,,,0,
2648,Aces Go Places V: The Terracotta Hit,1989,1,Native 4K,HDR10,Dolby Vision,1.0 DTS-HD MA,5.4,新最佳拍档,,,0,
2647,Aces Go Places IV,1986,1,Native 4K,HDR10,Dolby Vision,1.0 DTS-HD MA,5.6,最佳拍档4：千里救差婆,,,0,
2646,Aces Go Places III,1984,1,Native 4K,HDR10,Dolby Vision,1.0 DTS-HD MA,5.7,最佳拍档3：女皇密令,,,0,
2645,Aces Go Places II,1983,1,Native 4K,HDR10,Dolby Vision,1.0 DTS-HD MA,6.3,最佳拍档2：大显神通,,,0,
2644,Aces Go Places,1982,1,Native 4K,HDR10,Dolby Vision,1.0 DTS-HD MA,6.5,最佳拍档,,,0,
3049,Ace Ventura: Pet Detective,1994,1,Native 4K,HDR10,Dolby Vision,5.1 DTS-HD MA,6.6,神探飞机头,,,0,
5421,Absurd,1981,1,Native 4K,HDR10,Dolby Vision,2.0 DTS-HD MA,5.5,血色恶魔,,,0,
1452176,Abraham's Boys: A Dracula Story,2025,1,Native 4K,HDR10,5.1 DTS-HD MA,,5.1,血肉至亲,,,0,
222899,About Last Night,2014,1,Native 4K,5.1 Surround,,,6.0,昨夜风流,,,0,
431580,Abominable,2019,0,Upscaled 4K,HDR10,"Dolby Atmos, True-HD 7.1",,7.5,雪人奇缘,,,0,
1111873,Abigail,2024,1,Native 4K,HDR10,Dolby Vision,"Dolby Atmos, True-HD 7.1",6.6,噬血芭蕾,,,0,
26661,Abbott and Costello Meet the Mummy,1955,1,Native 4K,HDR10,2.0 DTS-HD MA,,5.9,两傻捉尸记,,,0,
